secc,segm,pesoano,estred13,c1%Casas,c2%Ladrillo,c3%Hormigon,c4%PisoConTerminacion,c5_4,c5_5,c5_7,c5_8,c5_9,d8_4,d9,d10,d14,d20%Electrica,d21_1,d21_2,d21_3,d21_4_1,d21_5_1,d21_9,d21_10,d21_11,d21_12,d21_13,d21_15_2,d21_15_4,d21_16,d23,d24,ht11,YHOG,pobre06,d21_14_1,d260%Electrica
1.0,104.0,256.0,Montevideo Medio,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09765625,1.87890625,1.20703125,0.09,1.0,0.0,1.0,0.54296875,1.0625,0.2109375,0.609375,0.0,0.0,0.8359375,0.234375,1.4375,0.83203125,1.79296875,0.11328125,48304.40234375,1316.85546875,0.0,0.0,0.17
1.0,105.0,387.0,Montevideo Medio Alto,0.0,1.0,1.0,1.0,0.059431524547803614,0.0,0.0,0.19121447028423771,0.0,0.0,3.5348837209302326,1.731266149870801,1.3875968992248062,0.12,1.0,0.0,1.0,1.1059431524547803,0.751937984496124,0.813953488372093,0.8811369509043928,0.27648578811369506,0.059431524547803614,0.813953488372093,0.0,1.4521963824289406,0.8837209302325582,1.4702842377260983,0.1524547803617571,53926.73729543498,3488.078380706288,0.0,0.38242894056847543,0.39
3.0,104.0,141.0,Montevideo Medio,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4113475177304964,1.2411347517730495,1.0,0.0,1.0,0.0,1.0,1.5106382978723405,0.24822695035460993,0.4326241134751773,1.0,0.0,0.0,0.6028368794326241,0.24822695035460993,0.48936170212765956,0.8156028368794326,1.8439716312056738,0.425531914893617,29711.54539007092,2660.68085106383,0.24113475177304963,0.0,0.25
3.0,202.0,547.0,Montevideo Medio,0.12979890310786105,1.0,0.9597806215722121,1.0,0.04021937842778794,0.0,0.0,0.09506398537477148,0.09506398537477148,0.0,2.974405850091408,1.5612431444241317,1.0,0.05,0.9140767824497258,0.0,1.0,0.9762340036563071,0.7221206581352834,0.39488117001828155,0.6672760511882998,0.05301645338208409,0.0,0.7056672760511883,0.13711151736745886,1.0292504570383911,0.6471663619744058,1.9689213893967092,0.25411334552102377,62058.07038391225,3637.1270566727603,0.0,0.2943327239488117,0.34
4.0,103.0,995.0,Montevideo Medio Alto,0.0814070351758794,1.0,1.0,1.0,0.062311557788944726,0.03015075376884422,0.0,0.11557788944723618,0.03015075376884422,0.0,2.479396984924623,1.4271356783919598,1.213065326633166,0.14,0.9758793969849247,0.024120603015075376,1.0,0.8,0.9376884422110553,0.47035175879396984,0.7618090452261307,0.03015075376884422,0.0592964824120603,0.8984924623115578,0.08241206030150754,1.2773869346733668,0.8472361809045226,1.6261306532663315,0.20402010050251257,55779.89872026801,2514.7648241206034,0.07236180904522613,0.5577889447236181,0.4
4.0,204.0,898.0,Montevideo Medio,0.23273942093541203,1.0,1.0,1.0,0.08463251670378619,0.0,0.0,0.1291759465478842,0.06570155902004454,0.0,3.502227171492205,1.7249443207126949,1.3942093541202674,0.09,1.0,0.0,1.0,0.8173719376391982,0.9632516703786191,0.5367483296213809,0.8240534521158129,0.031180400890868598,0.0,0.8853006681514477,0.066815144766147,1.4799554565701558,0.8875278396436526,1.9398663697104677,0.15924276169265034,70531.29250185598,3330.7019302152935,0.0,0.3930957683741648,0.38
5.0,101.0,539.0,Montevideo Medio Alto,0.0,1.0,1.0,1.0,0.11131725417439703,0.0,0.0,0.0,0.07421150278293136,0.0,2.7755102040816326,1.3784786641929498,1.528756957328386,0.17,0.9573283858998145,0.0,1.0,0.6808905380333952,0.9628942486085343,0.38404452690166974,0.6549165120593692,0.08534322820037106,0.0,0.8218923933209648,0.0,1.0890538033395176,0.8163265306122449,1.6326530612244898,0.10946196660482375,61541.1696969697,5777.7495361781075,0.05194805194805195,0.3302411873840445,0.44
5.0,103.0,718.0,Montevideo Medio Alto,0.24094707520891365,1.0,1.0,1.0,0.055710306406685235,0.0,0.0,0.12952646239554316,0.0403899721448468,0.0,2.949860724233983,1.8997214484679665,1.1949860724233983,0.0,1.0,0.0,1.0,1.0919220055710306,0.5598885793871866,0.5097493036211699,0.6768802228412256,0.036211699164345405,0.03899721448467967,0.8175487465181058,0.18523676880222842,1.182451253481894,0.7311977715877437,2.1072423398328692,0.11420612813370473,59595.68848653668,5721.259517177345,0.0,0.39136490250696376,0.4
5.0,105.0,347.0,Montevideo Medio Alto,0.0,1.0,1.0,1.0,0.07780979827089338,0.0,0.0,0.0,0.0,0.0,3.38328530259366,1.798270893371758,1.0,0.06,1.0,0.0,1.0,1.1181556195965419,1.0461095100864553,0.7348703170028819,0.9337175792507204,0.19020172910662825,0.05763688760806916,1.0,0.4322766570605187,0.968299711815562,0.7319884726224783,1.7665706051873198,0.3515850144092219,83884.5758885687,12762.60470701249,0.0,0.44668587896253603,0.46
5.0,201.0,660.0,Montevideo Medio Alto,0.08636363636363636,1.0,1.0,1.0,0.01818181818181818,0.0,0.0,0.1393939393939394,0.0,0.0,3.83030303030303,2.1515151515151514,1.7015151515151514,0.12,0.9818181818181818,0.01818181818181818,1.0,1.003030303030303,1.143939393939394,0.603030303030303,0.8909090909090909,0.0803030303030303,0.07272727272727272,0.9136363636363637,0.0,1.7136363636363636,0.8242424242424242,2.2893939393939395,0.09242424242424242,84199.87727272727,6417.538383838385,0.0,0.5984848484848485,0.47
5.0,204.0,476.0,Montevideo Medio,0.17857142857142858,1.0,1.0,1.0,0.10294117647058823,0.0,0.0,0.0,0.0,0.0,3.008403361344538,1.7247899159663866,1.1575630252100841,0.05,1.0,0.0,1.0,1.004201680672269,0.8109243697478992,0.29411764705882354,0.6554621848739496,0.04831932773109244,0.05042016806722689,0.865546218487395,0.04411764705882353,1.0777310924369747,0.6491596638655462,1.7100840336134453,0.3172268907563025,51258.60011204483,4748.221288515407,0.0,0.5378151260504201,0.58
5.0,205.0,624.0,Montevideo Medio Alto,0.28205128205128205,1.0,0.9551282051282052,1.0,0.14423076923076922,0.0,0.0,0.1233974358974359,0.049679487179487176,0.0,3.25,1.6923076923076923,1.0,0.12,0.9375,0.0625,1.0,0.967948717948718,0.8253205128205128,0.4310897435897436,0.8477564102564102,0.07371794871794872,0.0,0.8798076923076923,0.0,1.0064102564102564,0.8044871794871795,1.6682692307692308,0.28205128205128205,58300.154743589745,4095.269230769231,0.0,0.32532051282051283,0.59
6.0,101.0,442.0,Montevideo Medio Alto,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.10180995475113122,0.06787330316742081,0.0,2.7941176470588234,1.3529411764705883,1.3914027149321266,0.26,0.9479638009049773,0.0,1.0,0.6334841628959276,0.995475113122172,0.3755656108597285,0.7850678733031674,0.11764705882352941,0.16968325791855204,0.7963800904977375,0.0,1.1131221719457014,0.6153846153846154,1.5656108597285068,0.0,62943.10180995475,2710.153846153846,0.0,0.3393665158371041,0.34
6.0,103.0,500.0,Montevideo Medio Alto,0.048,1.0,1.0,1.0,0.054,0.0,0.0,0.044,0.044,0.0,3.862,2.13,1.766,0.05,0.77,0.0,1.0,1.112,0.868,0.608,0.652,0.166,0.178,0.912,0.16,1.63,0.726,2.134,0.222,77581.20466666666,8479.342,0.0,0.45,0.19
6.0,202.0,603.0,Montevideo Medio Alto,0.0845771144278607,0.966832504145937,0.966832504145937,1.0,0.0,0.0,0.03316749585406302,0.08291873963515754,0.03316749585406302,0.0,2.9402985074626864,1.6102819237147596,1.2271973466003316,0.03,1.0,0.0,0.9585406301824212,0.8905472636815921,0.8524046434494196,0.45439469320066334,0.8109452736318408,0.1011608623548922,0.04975124378109453,0.8706467661691543,0.08291873963515754,1.2703150912106136,0.8490878938640133,1.8424543946932006,0.24046434494195687,63542.154228855725,3252.1221669430624,0.04145936981757877,0.35655058043117743,0.27
6.0,204.0,583.0,Montevideo Medio Alto,0.1509433962264151,1.0,1.0,1.0,0.09605488850771869,0.044596912521440824,0.0,0.15780445969125215,0.05317324185248713,0.0,2.95368782161235,1.6312178387650085,1.320754716981132,0.04,1.0,0.0,1.0,1.1818181818181819,0.5746140651801029,0.17667238421955403,0.7701543739279588,0.2332761578044597,0.05317324185248713,0.5626072041166381,0.137221269296741,1.2521440823327616,0.6809605488850772,1.830188679245283,0.10291595197255575,48250.12542024014,6064.523156089193,0.05317324185248713,0.27101200686106347,0.3
6.0,304.0,370.0,Montevideo Medio Alto,0.15405405405405406,1.0,1.0,1.0,0.0,0.0,0.0,0.0945945945945946,0.0,0.0,2.9054054054054053,1.3864864864864865,1.4162162162162162,0.18,1.0,0.0,1.0,0.9540540540540541,0.8486486486486486,0.5,0.6864864864864865,0.0,0.0,0.8027027027027027,0.0,1.0243243243243243,0.6864864864864865,1.6243243243243244,0.0,58443.579279279285,2917.3972972972974,0.0,0.24054054054054055,0.27
7.0,10.0,635.0,Montevideo Medio Alto,0.08503937007874016,1.0,1.0,1.0,0.0,0.0,0.0,0.11338582677165354,0.0,0.0,3.41259842519685,2.04251968503937,1.447244094488189,0.04,1.0,0.0,1.0,0.9291338582677166,1.1307086614173227,0.6897637795275591,0.9102362204724409,0.12125984251968504,0.08031496062992126,0.9543307086614173,0.2110236220472441,1.7196850393700787,0.8692913385826772,2.3590551181102364,0.2803149606299213,101625.43322834648,4105.379265091863,0.0,0.33070866141732286,0.33
7.0,103.0,367.0,Montevideo Medio,0.13896457765667575,1.0,1.0,1.0,0.07629427792915532,0.0,0.0,0.23978201634877383,0.15803814713896458,0.0,2.5722070844686646,1.452316076294278,1.1525885558583107,0.08,1.0,0.0,1.0,1.3433242506811989,0.30517711171662126,0.14986376021798364,0.5177111716621253,0.0,0.0,0.9182561307901907,0.14986376021798364,1.4032697547683923,0.9237057220708447,1.6403269754768393,0.0,46128.1553133515,5297.743869209809,0.0,0.23433242506811988,0.32
7.0,105.0,546.0,Montevideo Medio,0.0,1.0,1.0,1.0,0.0641025641025641,0.0,0.0,0.11355311355311355,0.17399267399267399,0.0,1.9413919413919414,1.3021978021978022,1.0421245421245422,0.08,1.0,0.0,1.0,0.6758241758241759,0.7875457875457875,0.4358974358974359,0.5439560439560439,0.0,0.04212454212454213,0.8406593406593407,0.11904761904761904,1.0732600732600732,0.782051282051282,1.695970695970696,0.11721611721611722,52400.60105006106,3683.203296703297,0.0,0.2326007326007326,0.59
7.0,106.0,513.0,Montevideo Medio Alto,0.11500974658869395,1.0,1.0,1.0,0.0,0.0,0.0,0.1442495126705653,0.0,0.0,3.0292397660818713,1.608187134502924,1.4736842105263157,0.04,0.8109161793372319,0.0,1.0,1.0077972709551657,0.7797270955165692,0.594541910331384,0.7504873294346979,0.0,0.0,0.8265107212475633,0.10916179337231968,0.8031189083820662,0.5906432748538012,1.7894736842105263,0.05458089668615984,51419.0669265757,3668.9428200129955,0.0,0.2787524366471735,0.14
7.0,107.0,666.0,Montevideo Medio,0.21771771771771772,1.0,1.0,1.0,0.07957957957957958,0.0,0.0,0.09759759759759759,0.0,0.0,2.8603603603603602,1.7057057057057057,1.1126126126126126,0.11,1.0,0.0,1.0,0.6066066066066066,1.093093093093093,0.509009009009009,0.8588588588588588,0.1831831831831832,0.0,0.8603603603603603,0.11261261261261261,1.352852852852853,0.8483483483483484,1.7672672672672673,0.15315315315315314,53587.70376376376,2554.2637637637636,0.0,0.3858858858858859,0.45
