secc,segm,pesoano,porcentaje_casas,porcentaje_pared_ladrillo,porcentaje_techo_hormigon,porcentaje_piso_con_terminacion,cant_habitaciones_prom,porcentaje_cocina_electrica,tiene_calefon_prom,cant_televisores_prom,ingresos_hogar_prom,cant_ac_prom,porcentaje_calefaccio_electrica
1.0,1.0,403.0,0.2903225806451613,1.0,0.9156327543424317,1.0,3.2878411910669976,0.27,1.0,0.9503722084367245,85180.52853598015,0.337468982630273,0.43
1.0,3.0,176.0,0.0,1.0,1.0,1.0,2.965909090909091,0.09,1.0,1.0,119552.55492424243,1.8238636363636365,0.46
1.0,104.0,355.0,0.11267605633802817,1.0,1.0,1.0,3.983098591549296,0.05,0.8816901408450705,0.8450704225352113,98868.29389671363,0.952112676056338,0.28
1.0,105.0,481.0,0.0,1.0,1.0,1.0,3.0103950103950106,0.17,1.0,0.8981288981288982,100124.9993069993,0.6694386694386695,0.59
1.0,204.0,461.0,0.13449023861171366,1.0,1.0,1.0,2.9132321041214753,0.11,1.0,0.8221258134490239,60035.34562545192,0.23210412147505424,0.41
1.0,205.0,586.0,0.06484641638225255,1.0,1.0,1.0,3.28839590443686,0.04,0.757679180887372,0.9300341296928327,207512.23777019337,0.7235494880546075,0.22
2.0,1.0,399.0,0.6040100250626567,1.0,0.8922305764411027,0.8922305764411027,3.087719298245614,0.0,0.9398496240601504,0.8395989974937343,59682.65162907268,0.3182957393483709,0.17
2.0,3.0,182.0,0.13186813186813187,1.0,1.0,1.0,3.1043956043956045,0.0,1.0,1.0,97717.36813186813,0.6098901098901099,0.38
2.0,202.0,320.0,0.378125,1.0,1.0,1.0,2.39375,0.11,0.878125,0.815625,79965.7234375,0.6375,0.22
3.0,3.0,263.0,0.08365019011406843,1.0,1.0,1.0,2.7072243346007605,0.0,1.0,0.8669201520912547,57903.77186311787,0.376425855513308,0.36
3.0,101.0,643.0,0.401244167962675,1.0,1.0,1.0,2.7169517884914463,0.04,1.0,0.8818040435458787,92064.64800414724,0.702954898911353,0.32
3.0,102.0,262.0,0.0,1.0,1.0,1.0,2.7480916030534353,0.08,1.0,0.916030534351145,82361.16030534351,0.4083969465648855,0.29
3.0,104.0,325.0,0.06769230769230769,1.0,0.9323076923076923,1.0,2.5907692307692307,0.12,0.9323076923076923,0.5876923076923077,68567.95179487178,0.37538461538461537,0.61
3.0,202.0,560.0,0.1392857142857143,1.0,1.0,1.0,2.5375,0.15,0.9035714285714286,0.8928571428571429,82802.58273809523,0.36607142857142855,0.37
3.0,204.0,563.0,0.1936056838365897,1.0,1.0,1.0,2.02841918294849,0.0,1.0,0.6571936056838366,109425.22261693311,0.3960923623445826,0.33
4.0,1.0,418.0,0.0,1.0,1.0,1.0,2.6148325358851676,0.1,1.0,0.84688995215311,94685.39314194577,0.16267942583732056,0.34
4.0,102.0,570.0,0.043859649122807015,1.0,1.0,1.0,2.7017543859649122,0.04,0.9421052631578948,0.8578947368421053,65755.33099415204,0.156140350877193,0.22
4.0,103.0,1379.0,0.0,1.0,1.0,0.9311094996374184,2.0087019579405365,0.17,0.9847715736040609,0.8027556200145033,72724.59245830312,0.3531544597534445,0.39
4.0,104.0,634.0,0.3280757097791798,1.0,1.0,1.0,2.861198738170347,0.0,0.8690851735015773,0.8690851735015773,87529.86882229234,0.5977917981072555,0.33
4.0,202.0,604.0,0.0,1.0,1.0,1.0,3.153973509933775,0.09,1.0,0.9437086092715232,101303.30242825607,0.7781456953642384,0.79
4.0,203.0,1051.0,0.0532825880114177,1.0,1.0,1.0,2.944814462416746,0.09,0.9686013320647003,0.9029495718363464,96800.66547732317,0.7526165556612749,0.51
4.0,204.0,763.0,0.20445609436435125,1.0,1.0,1.0,3.5399737876802098,0.09,1.0,0.926605504587156,113053.14176496286,0.6002621231979031,0.4
5.0,101.0,921.0,0.0,1.0,1.0,1.0,2.964169381107492,0.16,1.0,0.9391965255157437,82086.4933043793,1.0282301845819761,0.52
5.0,102.0,258.0,0.0,1.0,1.0,1.0,1.8333333333333333,0.09,1.0,1.0,80430.97545219639,0.8953488372093024,0.57
5.0,103.0,1178.0,0.2826825127334465,1.0,1.0,1.0,2.83786078098472,0.02,0.8191850594227504,0.8463497453310697,97513.441426146,0.4465195246179966,0.45
5.0,104.0,718.0,0.44846796657381616,1.0,0.9415041782729805,1.0,3.5710306406685235,0.0,1.0,0.8495821727019499,93735.65111420614,0.13788300835654596,0.15
5.0,105.0,413.0,0.0,1.0,1.0,1.0,3.196125907990315,0.0,1.0,0.9055690072639225,112738.69087974173,0.38498789346246975,0.49
5.0,106.0,289.0,0.356401384083045,1.0,1.0,1.0,3.491349480968858,0.0,1.0,1.0,82000.94117647059,0.3633217993079585,0.0
5.0,201.0,762.0,0.1325459317585302,1.0,1.0,1.0,3.4448818897637796,0.08,1.0,0.9488188976377953,100891.44663167103,0.4238845144356955,0.27
5.0,202.0,424.0,0.18396226415094338,1.0,1.0,1.0,3.1650943396226414,0.08,0.9033018867924528,0.6792452830188679,98267.47955974842,0.6839622641509434,0.44
5.0,203.0,313.0,0.06389776357827476,1.0,1.0,1.0,3.4472843450479234,0.12,1.0,0.8849840255591054,87408.5750798722,0.7412140575079872,0.61
5.0,204.0,435.0,0.0,1.0,1.0,1.0,2.471264367816092,0.16,1.0,0.9126436781609195,73234.27662835248,0.43908045977011495,0.36
5.0,205.0,633.0,0.30173775671406006,1.0,0.909952606635071,1.0,3.090047393364929,0.06,0.9052132701421801,0.8309636650868878,76064.16692996315,0.25434439178515006,0.26
5.0,206.0,263.0,0.4296577946768061,1.0,0.8555133079847909,1.0,3.1634980988593155,0.0,1.0,0.8669201520912547,79573.80481622306,0.9771863117870723,0.43
6.0,101.0,502.0,0.0,1.0,1.0,1.0,2.7848605577689245,0.1,1.0,0.9342629482071713,85911.20949535194,0.5717131474103586,0.69
6.0,102.0,610.0,0.05081967213114754,1.0,1.0,1.0,3.263934426229508,0.0,1.0,0.7672131147540984,92529.79672131148,1.0540983606557377,0.55
6.0,103.0,714.0,0.0,1.0,1.0,1.0,4.011204481792717,0.15,0.8641456582633054,0.9453781512605042,165951.31746031746,1.1288515406162465,0.28
6.0,104.0,791.0,0.0,1.0,1.0,1.0,3.549936788874842,0.14,0.9734513274336283,0.8445006321112516,104435.30046354825,1.0,0.43
6.0,201.0,584.0,0.0,1.0,1.0,1.0,3.6780821917808217,0.18,1.0,0.922945205479452,113087.90582191781,1.0376712328767124,0.65
6.0,202.0,523.0,0.17208413001912046,1.0,1.0,1.0,3.5009560229445507,0.12,1.0,0.8910133843212237,97833.61695347355,0.5315487571701721,0.27
6.0,203.0,381.0,0.09448818897637795,1.0,1.0,1.0,3.3070866141732282,0.0,1.0,0.9133858267716536,80833.54855643044,1.5091863517060367,0.55
6.0,204.0,513.0,0.0,1.0,1.0,1.0,2.3196881091617936,0.16,1.0,0.9434697855750487,79823.19428200129,0.6335282651072125,0.5
6.0,304.0,617.0,0.0,1.0,1.0,1.0,3.727714748784441,0.13,0.7050243111831442,0.8914100486223663,118822.48082117773,0.8719611021069692,0.23
7.0,1.0,144.0,0.3888888888888889,1.0,0.8541666666666666,1.0,3.1944444444444446,0.0,1.0,1.0,86576.68402777778,0.5555555555555556,0.28
7.0,9.0,562.0,0.31494661921708184,1.0,0.9412811387900356,1.0,3.2829181494661923,0.06,0.9679715302491103,0.8345195729537367,103013.55931198101,0.4483985765124555,0.28
7.0,10.0,674.0,0.20178041543026706,1.0,1.0,1.0,3.363501483679525,0.07,1.0,0.814540059347181,96731.89960435213,0.41839762611275966,0.34
7.0,102.0,461.0,0.6941431670281996,1.0,1.0,1.0,2.4316702819956615,0.0,1.0,1.0,61275.49385394071,0.17787418655097614,0.3
7.0,103.0,556.0,0.30755395683453235,1.0,0.9388489208633094,1.0,3.223021582733813,0.04,0.9280575539568345,0.8812949640287769,100105.52967625899,0.9334532374100719,0.27
7.0,104.0,189.0,0.0,1.0,1.0,1.0,2.925925925925926,0.12,0.8412698412698413,1.0,90712.9417989418,1.3174603174603174,0.29
7.0,105.0,485.0,0.07422680412371134,1.0,1.0,1.0,2.461855670103093,0.05,1.0,1.0,63013.40206185567,0.5484536082474227,0.39
7.0,106.0,337.0,0.16913946587537093,1.0,1.0,1.0,2.9525222551928785,0.0,1.0,0.8635014836795252,57830.63501483679,0.4807121661721068,0.31
7.0,107.0,440.0,0.3159090909090909,1.0,0.9159090909090909,1.0,2.8022727272727272,0.07,1.0,0.8227272727272728,97313.49772727273,1.040909090909091,0.41
7.0,202.0,317.0,0.5110410094637224,1.0,0.8296529968454258,1.0,3.031545741324921,0.0,0.7665615141955836,0.8296529968454258,75313.29810725553,0.8580441640378549,0.36
7.0,203.0,689.0,0.251088534107402,1.0,1.0,1.0,3.4034833091436867,0.3,0.9666182873730044,0.9579100145137881,101415.24673439768,0.5820029027576198,0.51
7.0,204.0,469.0,0.0,1.0,1.0,1.0,2.744136460554371,0.07,1.0,0.8848614072494669,76947.19758351102,0.8784648187633263,0.45
7.0,205.0,240.0,0.3,1.0,1.0,1.0,3.875,0.0,0.925,0.7541666666666667,99615.4263888889,1.0916666666666666,0.39
7.0,206.0,798.0,0.10150375939849623,1.0,1.0,1.0,3.145363408521303,0.21,1.0,0.9448621553884712,100748.98934837093,1.0714285714285714,0.4
7.0,207.0,696.0,0.48419540229885055,1.0,0.9497126436781609,1.0,3.7471264367816093,0.0,1.0,0.6609195402298851,102334.11542145594,0.9741379310344828,0.37
7.0,208.0,711.0,0.3530239099859353,1.0,1.0,1.0,3.938115330520394,0.05,1.0,0.8663853727144867,98004.97233942804,0.7834036568213784,0.34
7.0,303.0,396.0,0.0,1.0,1.0,1.0,1.9772727272727273,0.22,0.9217171717171717,0.7904040404040404,69714.47811447812,0.7348484848484849,0.24
8.0,1.0,106.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.8490566037735849,49626.47169811321,0.2641509433962264,0.49
8.0,2.0,484.0,0.19421487603305784,1.0,1.0,1.0,2.7355371900826446,0.0,0.9297520661157025,0.7954545454545454,84714.08815426996,0.2727272727272727,0.26
8.0,3.0,570.0,0.6807017543859649,1.0,0.9649122807017544,1.0,3.6719298245614036,0.05,0.9649122807017544,0.7912280701754386,66490.36023391812,0.26842105263157895,0.14
8.0,4.0,709.0,0.610719322990127,1.0,1.0,1.0,3.2510578279266573,0.19,0.9026798307475318,0.7094499294781382,72625.61048425011,0.2693935119887165,0.47
8.0,7.0,247.0,0.4574898785425101,1.0,1.0,1.0,4.5465587044534415,0.0,1.0,1.0,122967.88663967612,0.7935222672064778,0.45
8.0,10.0,380.0,0.0,1.0,1.0,1.0,3.3473684210526318,0.25,1.0,1.0,149303.55,0.6026315789473684,0.77
8.0,12.0,312.0,0.46794871794871795,1.0,1.0,1.0,3.019230769230769,0.0,1.0,0.9006410256410257,100413.16666666667,0.6314102564102564,0.19
8.0,13.0,436.0,1.0,1.0,1.0,1.0,2.93348623853211,0.09,1.0,0.731651376146789,85820.23088685017,0.12614678899082568,0.05
8.0,111.0,785.0,0.06369426751592357,1.0,1.0,1.0,4.012738853503185,0.09,1.0,1.0,132568.8,0.9668789808917198,0.29
8.0,114.0,368.0,0.358695652173913,1.0,1.0,1.0,2.948369565217391,0.06,1.0,0.9375,68774.65081521738,0.266304347826087,0.11
8.0,211.0,639.0,0.24413145539906103,1.0,1.0,1.0,2.7621283255086073,0.08,1.0,0.8716744913928013,66200.92618675013,0.37871674491392804,0.28
