seccion,segmento
17.0,6.0
24.0,108.0
17.0,5.0
22.0,17.0
17.0,1.0
12.0,128.0
17.0,303.0
9.0,47.0
15.0,105.0
24.0,211.0
13.0,46.0
10.0,76.0
10.0,230.0
20.0,41.0
16.0,19.0
5.0,202.0
16.0,8.0
18.0,105.0
15.0,106.0
11.0,211.0
14.0,112.0
24.0,114.0
17.0,113.0
11.0,13.0
9.0,25.0
24.0,208.0
12.0,11.0
13.0,152.0
19.0,16.0
10.0,333.0
10.0,120.0
10.0,249.0
20.0,11.0
16.0,41.0
22.0,204.0
15.0,13.0
11.0,138.0
21.0,19.0
10.0,228.0
11.0,209.0
21.0,48.0
24.0,107.0
17.0,129.0
13.0,213.0
24.0,201.0
24.0,102.0
21.0,229.0
9.0,18.0
15.0,109.0
21.0,209.0
11.0,15.0
10.0,12.0
17.0,128.0
10.0,338.0
19.0,205.0
17.0,32.0
21.0,222.0
9.0,8.0
20.0,20.0
18.0,113.0
18.0,221.0
9.0,31.0
18.0,102.0
10.0,58.0
2.0,3.0
99.0,42.0
10.0,316.0
14.0,221.0
17.0,122.0
17.0,26.0
14.0,24.0
8.0,4.0
24.0,220.0
21.0,130.0
22.0,230.0
9.0,33.0
18.0,204.0
18.0,122.0
20.0,6.0
13.0,132.0
12.0,13.0
21.0,232.0
20.0,36.0
11.0,28.0
22.0,202.0
11.0,69.0
18.0,114.0
18.0,205.0
10.0,134.0
21.0,228.0
13.0,18.0
16.0,42.0
12.0,21.0
5.0,205.0
9.0,26.0
22.0,9.0
13.0,24.0
5.0,206.0
12.0,220.0
1.0,1.0
17.0,107.0
11.0,111.0
20.0,35.0
17.0,130.0
17.0,224.0
11.0,107.0
15.0,212.0
20.0,230.0
10.0,55.0
21.0,122.0
10.0,52.0
99.0,251.0
17.0,202.0
21.0,37.0
23.0,201.0
21.0,304.0
18.0,206.0
22.0,123.0
16.0,20.0
20.0,33.0
24.0,106.0
19.0,207.0
99.0,54.0
10.0,268.0
21.0,144.0
21.0,215.0
11.0,229.0
24.0,223.0
18.0,217.0
18.0,224.0
11.0,289.0
3.0,104.0
21.0,34.0
21.0,129.0
24.0,123.0
18.0,227.0
19.0,9.0
5.0,105.0
24.0,101.0
3.0,3.0
22.0,33.0
99.0,225.0
20.0,29.0
6.0,202.0
22.0,10.0
18.0,112.0
24.0,111.0
20.0,13.0
16.0,17.0
22.0,223.0
10.0,65.0
18.0,201.0
10.0,101.0
18.0,306.0
11.0,3.0
10.0,21.0
18.0,215.0
17.0,12.0
13.0,17.0
7.0,103.0
18.0,222.0
22.0,27.0
17.0,124.0
11.0,129.0
17.0,319.0
9.0,22.0
6.0,203.0
8.0,214.0
16.0,9.0
22.0,105.0
5.0,204.0
11.0,99.0
15.0,312.0
12.0,212.0
21.0,225.0
10.0,320.0
4.0,103.0
12.0,228.0
24.0,216.0
8.0,314.0
20.0,26.0
99.0,166.0
24.0,5.0
6.0,103.0
11.0,135.0
10.0,236.0
10.0,8.0
11.0,10.0
23.0,212.0
11.0,230.0
10.0,64.0
24.0,116.0
99.0,46.0
16.0,125.0
24.0,209.0
19.0,3.0
15.0,207.0
23.0,4.0
13.0,242.0
18.0,127.0
21.0,45.0
18.0,125.0
17.0,222.0
7.0,303.0
12.0,2.0
20.0,12.0
9.0,7.0
19.0,8.0
18.0,226.0
12.0,119.0
15.0,114.0
11.0,235.0
24.0,202.0
10.0,40.0
12.0,24.0
24.0,221.0
12.0,229.0
20.0,47.0
11.0,92.0
3.0,204.0
24.0,3.0
18.0,212.0
10.0,110.0
7.0,1.0
11.0,2.0
11.0,61.0
10.0,51.0
22.0,228.0
21.0,27.0
21.0,204.0
12.0,8.0
21.0,104.0
10.0,54.0
8.0,111.0
10.0,6.0
11.0,60.0
20.0,222.0
99.0,47.0
24.0,109.0
10.0,59.0
10.0,43.0
14.0,205.0
16.0,1.0
9.0,5.0
11.0,91.0
18.0,208.0
21.0,128.0
11.0,286.0
10.0,9.0
24.0,207.0
17.0,123.0
14.0,9.0
16.0,6.0
19.0,214.0
21.0,246.0
13.0,37.0
22.0,128.0
9.0,3.0
14.0,220.0
10.0,124.0
10.0,57.0
99.0,56.0
24.0,215.0
18.0,213.0
18.0,111.0
20.0,2.0
10.0,119.0
17.0,43.0
12.0,34.0
15.0,208.0
12.0,9.0
12.0,120.0
22.0,218.0
10.0,428.0
10.0,237.0
21.0,16.0
13.0,352.0
10.0,122.0
14.0,122.0
20.0,138.0
10.0,519.0
10.0,149.0
7.0,9.0
17.0,27.0
21.0,39.0
18.0,128.0
17.0,21.0
20.0,3.0
14.0,107.0
14.0,17.0
21.0,7.0
13.0,239.0
22.0,26.0
17.0,230.0
4.0,102.0
6.0,102.0
15.0,209.0
22.0,119.0
7.0,106.0
22.0,21.0
7.0,10.0
13.0,33.0
18.0,124.0
11.0,62.0
14.0,113.0
22.0,16.0
22.0,201.0
5.0,106.0
10.0,217.0
10.0,319.0
10.0,125.0
22.0,134.0
24.0,115.0
15.0,108.0
20.0,34.0
10.0,127.0
18.0,223.0
18.0,216.0
13.0,51.0
20.0,14.0
20.0,27.0
17.0,42.0
99.0,204.0
23.0,205.0
99.0,53.0
9.0,11.0
12.0,1.0
15.0,210.0
18.0,225.0
11.0,59.0
22.0,22.0
10.0,62.0
19.0,107.0
24.0,218.0
13.0,236.0
17.0,218.0
17.0,108.0
12.0,216.0
10.0,129.0
10.0,146.0
12.0,136.0
18.0,202.0
13.0,240.0
10.0,60.0
4.0,204.0
17.0,341.0
10.0,207.0
24.0,4.0
10.0,131.0
24.0,27.0
15.0,203.0
10.0,231.0
18.0,214.0
18.0,209.0
17.0,115.0
2.0,1.0
10.0,136.0
9.0,21.0
20.0,43.0
9.0,16.0
99.0,266.0
12.0,236.0
17.0,223.0
17.0,203.0
17.0,141.0
23.0,209.0
24.0,125.0
19.0,105.0
21.0,23.0
17.0,215.0
11.0,238.0
11.0,168.0
19.0,10.0
18.0,118.0
10.0,203.0
99.0,72.0
23.0,211.0
16.0,225.0
24.0,219.0
21.0,40.0
18.0,10.0
3.0,101.0
16.0,5.0
99.0,7.0
13.0,7.0
1.0,205.0
99.0,75.0
10.0,133.0
15.0,205.0
24.0,206.0
99.0,125.0
18.0,120.0
99.0,2.0
19.0,211.0
18.0,107.0
24.0,212.0
21.0,31.0
23.0,106.0
20.0,7.0
10.0,220.0
22.0,114.0
12.0,112.0
21.0,132.0
17.0,114.0
15.0,107.0
99.0,39.0
99.0,24.0
99.0,27.0
23.0,111.0
11.0,18.0
22.0,102.0
10.0,138.0
99.0,43.0
23.0,110.0
10.0,248.0
99.0,23.0
10.0,438.0
24.0,226.0
18.0,319.0
10.0,61.0
10.0,15.0
22.0,214.0
11.0,130.0
21.0,5.0
10.0,201.0
18.0,115.0
18.0,104.0
10.0,139.0
22.0,13.0
17.0,209.0
23.0,112.0
6.0,204.0
18.0,109.0
99.0,44.0
7.0,104.0
23.0,105.0
9.0,217.0
13.0,336.0
15.0,306.0
17.0,204.0
6.0,304.0
