seccion,segmento,Estacion
0.0,0.0,Prado
1.0,1.0,Prado
1.0,2.0,Prado
1.0,3.0,Prado
1.0,104.0,Prado
1.0,105.0,Prado
1.0,204.0,Prado
1.0,205.0,Prado
2.0,1.0,Prado
2.0,3.0,Prado
2.0,4.0,Prado
2.0,102.0,Prado
2.0,202.0,Prado
3.0,3.0,Prado
3.0,101.0,Prado
3.0,102.0,Prado
5.0,101.0,Prado
3.0,104.0,Prado
3.0,201.0,Prado
3.0,202.0,Prado
3.0,204.0,Prado
4.0,1.0,Prado
4.0,102.0,Prado
4.0,103.0,Prado
4.0,104.0,Prado
4.0,202.0,Prado
4.0,203.0,Prado
4.0,204.0,Prado
5.0,102.0,Prado
5.0,103.0,Prado
5.0,104.0,Prado
5.0,105.0,Prado
5.0,106.0,Prado
5.0,201.0,Prado
5.0,202.0,Prado
5.0,203.0,Prado
5.0,204.0,Prado
5.0,205.0,Prado
5.0,206.0,Prado
6.0,101.0,Prado
6.0,102.0,Prado
6.0,103.0,Prado
6.0,104.0,Prado
6.0,201.0,Prado
6.0,202.0,Prado
6.0,203.0,Prado
6.0,204.0,Prado
6.0,304.0,Prado
7.0,1.0,Prado
7.0,9.0,Prado
7.0,10.0,Prado
7.0,102.0,Prado
7.0,103.0,Prado
7.0,104.0,Prado
7.0,105.0,Prado
7.0,106.0,Prado
7.0,107.0,Prado
7.0,108.0,Prado
7.0,202.0,Prado
7.0,203.0,Prado
7.0,204.0,Prado
7.0,205.0,Prado
7.0,206.0,Prado
7.0,207.0,Prado
7.0,208.0,Prado
7.0,303.0,Prado
8.0,1.0,Prado
8.0,2.0,Prado
8.0,3.0,Prado
8.0,4.0,Prado
8.0,6.0,Prado
8.0,7.0,Prado
8.0,8.0,Prado
8.0,9.0,Prado
8.0,10.0,Prado
8.0,12.0,Prado
8.0,13.0,Prado
8.0,105.0,Prado
8.0,111.0,Prado
8.0,114.0,Prado
8.0,205.0,Prado
8.0,211.0,Prado
8.0,214.0,Prado
8.0,314.0,Prado
9.0,8.0,Melilla
9.0,1.0,Melilla
9.0,2.0,Melilla
9.0,3.0,Melilla
9.0,4.0,Melilla
9.0,5.0,Melilla
9.0,6.0,Melilla
9.0,7.0,Melilla
9.0,9.0,Melilla
9.0,10.0,Melilla
