Estacion,Fecha,Tmax,Tmin
Melilla ,1/1/2013 0:00,21,17.6
Melilla ,1/2/2013 0:00,20.6,18.4
Melilla ,1/3/2013 0:00,26.2,20.2
Melilla ,1/4/2013 0:00,30.1,19.5
Melilla ,1/5/2013 0:00,32.3,20.2
Melilla ,1/6/2013 0:00,27.4,18.5
Melilla ,1/7/2013 0:00,31,18.5
Melilla ,1/8/2013 0:00,28.8,21.8
Melilla ,1/9/2013 0:00,29,18.6
Melilla ,1/10/2013 0:00,30.6,19.1
Melilla ,1/11/2013 0:00,31.8,19
Melilla ,1/12/2013 0:00,30,19
Melilla ,1/13/2013 0:00,29.6,15
Melilla ,1/14/2013 0:00,29.4,18.6
Melilla ,1/15/2013 0:00,30.4,19.5
Melilla ,1/16/2013 0:00,31.2,21.2
Melilla ,1/17/2013 0:00,29.4,18
Melilla ,1/18/2013 0:00,28,12.8
Melilla ,1/19/2013 0:00,24.7,18.5
Melilla ,1/20/2013 0:00,24.9,18.5
Melilla ,1/21/2013 0:00,27.2,14.6
Melilla ,1/22/2013 0:00,29.3,16.3
Melilla ,1/23/2013 0:00,32,20.2
Melilla ,1/24/2013 0:00,35,20
Melilla ,1/25/2013 0:00,21.6,21.5
Melilla ,1/26/2013 0:00,25,11.8
Melilla ,1/27/2013 0:00,30.2,23.2
Melilla ,1/28/2013 0:00,34.3,18.5
Melilla ,1/29/2013 0:00,36,19
Melilla ,1/30/2013 0:00,32,16.6
Melilla ,1/31/2013 0:00,32.4,22.4
Melilla ,2/1/2013 0:00,33.1,18.7
Melilla ,2/2/2013 0:00,34,13
Melilla ,2/3/2013 0:00,24.2,17.6
Melilla ,2/4/2013 0:00,25.4,22
Melilla ,2/5/2013 0:00,28.4,17.3
Melilla ,2/6/2013 0:00,28.8,15.6
Melilla ,2/7/2013 0:00,28.4,16
Melilla ,2/8/2013 0:00,30.1,19.2
Melilla ,2/9/2013 0:00,31,19.5
Melilla ,2/10/2013 0:00,30.7,19.4
Melilla ,2/11/2013 0:00,28,15.1
Melilla ,2/12/2013 0:00,30.8,15.2
Melilla ,2/13/2013 0:00,29,16.4
Melilla ,2/14/2013 0:00,29.7,16.5
Melilla ,2/15/2013 0:00,31,12.6
Melilla ,2/16/2013 0:00,32.4,16.4
Melilla ,2/17/2013 0:00,29.8,20.7
Melilla ,2/18/2013 0:00,24,22.1
Melilla ,2/19/2013 0:00,22.4,21
Melilla ,2/20/2013 0:00,23.2,20.5
Melilla ,2/21/2013 0:00,23,19
Melilla ,2/22/2013 0:00,26.2,19
Melilla ,2/23/2013 0:00,28.6,19.1
Melilla ,2/24/2013 0:00,23.2,18.5
Melilla ,2/25/2013 0:00,21.1,19.5
Melilla ,2/26/2013 0:00,20,16
Melilla ,2/27/2013 0:00,21.5,14.6
Melilla ,2/28/2013 0:00,22,17.6
Melilla ,3/1/2013 0:00,27.4,15
Melilla ,3/2/2013 0:00,24,15.8
Melilla ,3/3/2013 0:00,21.2,17.5
Melilla ,3/4/2013 0:00,20,17.5
Melilla ,3/5/2013 0:00,22.4,18.6
Melilla ,3/6/2013 0:00,27,16.7
Melilla ,3/7/2013 0:00,28.4,19.2
Melilla ,3/8/2013 0:00,30,22
Melilla ,3/9/2013 0:00,29.4,20.3
Melilla ,3/10/2013 0:00,23,20.4
Melilla ,3/11/2013 0:00,24,20.1
Melilla ,3/12/2013 0:00,20.2,14.5
Melilla ,3/13/2013 0:00,20.2,15
Melilla ,3/14/2013 0:00,17.6,15
Melilla ,3/15/2013 0:00,19,10
Melilla ,3/16/2013 0:00,18.8,16.6
Melilla ,3/17/2013 0:00,18.6,18.4
Melilla ,3/18/2013 0:00,21.4,14.6
Melilla ,3/19/2013 0:00,22.6,10.4
Melilla ,3/20/2013 0:00,20.2,11.9
Melilla ,3/21/2013 0:00,22,16.2
Melilla ,3/22/2013 0:00,20.6,19.4
Melilla ,3/23/2013 0:00,22.2,18
Melilla ,3/24/2013 0:00,25.4,17.4
Melilla ,3/25/2013 0:00,24.2,14
Melilla ,3/26/2013 0:00,21.6,17.4
Melilla ,3/27/2013 0:00,22.4,15.1
Melilla ,3/28/2013 0:00,24.4,9.6
Melilla ,3/29/2013 0:00,27.6,10.1
Melilla ,3/30/2013 0:00,27.4,13.1
Melilla ,3/31/2013 0:00,28.2,16.5
Melilla ,4/1/2013 0:00,25.6,17.2
Melilla ,4/2/2013 0:00,24.1,16
Melilla ,4/3/2013 0:00,24.9,15.4
Melilla ,4/4/2013 0:00,22.8,15.5
Melilla ,4/5/2013 0:00,22.2,9.9
Melilla ,4/6/2013 0:00,20.4,13.5
Melilla ,4/7/2013 0:00,19.4,11.5
Melilla ,4/8/2013 0:00,21.5,16.5
Melilla ,4/9/2013 0:00,23.4,12
Melilla ,4/10/2013 0:00,23.5,12.2
Melilla ,4/11/2013 0:00,20.6,16
Melilla ,4/12/2013 0:00,19.9,16.2
Melilla ,4/13/2013 0:00,17,9
Melilla ,4/14/2013 0:00,21.8,13.6
Melilla ,4/15/2013 0:00,21.3,13.6
Melilla ,4/16/2013 0:00,18.6,16.2
Melilla ,4/17/2013 0:00,21.4,13.5
Melilla ,4/18/2013 0:00,24.4,12.7
Melilla ,4/19/2013 0:00,25.8,8.9
Melilla ,4/20/2013 0:00,27.2,13.4
Melilla ,4/21/2013 0:00,26.5,15.3
Melilla ,4/22/2013 0:00,24.4,14
Melilla ,4/23/2013 0:00,26.8,14.3
Melilla ,4/24/2013 0:00,28.4,5.3
Melilla ,4/25/2013 0:00,25.8,10.1
Melilla ,4/26/2013 0:00,26.4,9.2
Melilla ,4/27/2013 0:00,26,12.6
Melilla ,4/28/2013 0:00,23.3,14
Melilla ,4/29/2013 0:00,20.1,15
Melilla ,4/30/2013 0:00,20,16
Melilla ,5/1/2013 0:00,20.8,14.4
Melilla ,5/2/2013 0:00,20.6,11.6
Melilla ,5/3/2013 0:00,18.8,2.5
Melilla ,5/4/2013 0:00,18,7.7
Melilla ,5/5/2013 0:00,17.3,11.8
Melilla ,5/6/2013 0:00,23,6.3
Melilla ,5/7/2013 0:00,23.5,7.5
Melilla ,5/8/2013 0:00,22.2,10
Melilla ,5/9/2013 0:00,24,3
Melilla ,5/10/2013 0:00,23.8,5.3
Melilla ,5/11/2013 0:00,21.6,8.6
Melilla ,5/12/2013 0:00,20.4,11.8
Melilla ,5/13/2013 0:00,16.6,10.5
Melilla ,5/14/2013 0:00,18.8,13
Melilla ,5/15/2013 0:00,18.8,11.6
Melilla ,5/16/2013 0:00,12.2,8.4
Melilla ,5/17/2013 0:00,15.6,7.8
Melilla ,5/18/2013 0:00,14.6,10
Melilla ,5/19/2013 0:00,15.5,9.4
Melilla ,5/20/2013 0:00,13.6,12.5
Melilla ,5/21/2013 0:00,14.5,13
Melilla ,5/22/2013 0:00,18,11.5
Melilla ,5/23/2013 0:00,17.4,7
Melilla ,5/24/2013 0:00,15.9,4.5
Melilla ,5/25/2013 0:00,17.8,11.6
Melilla ,5/26/2013 0:00,19.6,10
Melilla ,5/27/2013 0:00,20.5,10.3
Melilla ,5/28/2013 0:00,19,8
Melilla ,5/29/2013 0:00,14.2,5.2
Melilla ,5/30/2013 0:00,17.6,8.1
Melilla ,5/31/2013 0:00,19.6,10.5
Melilla ,6/1/2013 0:00,21.2,4.5
Melilla ,6/2/2013 0:00,16.2,5.5
Melilla ,6/3/2013 0:00,19.2,10.1
Melilla ,6/4/2013 0:00,17.9,9.6
Melilla ,6/5/2013 0:00,19.2,2
Melilla ,6/6/2013 0:00,12.6,5.6
Melilla ,6/7/2013 0:00,17.4,7
Melilla ,6/8/2013 0:00,15.6,5.1
Melilla ,6/9/2013 0:00,12.3,7.3
Melilla ,6/10/2013 0:00,18,3.4
Melilla ,6/11/2013 0:00,21.5,9.8
Melilla ,6/12/2013 0:00,23.4,8.5
Melilla ,6/13/2013 0:00,21.2,8.5
Melilla ,6/14/2013 0:00,17.9,0.5
Melilla ,6/15/2013 0:00,17,14.6
Melilla ,6/16/2013 0:00,12.5,8.2
Melilla ,6/17/2013 0:00,14.9,12.8
Melilla ,6/18/2013 0:00,14.9,11
Melilla ,6/19/2013 0:00,10.3,5.8
Melilla ,6/20/2013 0:00,12.2,-0.8
Melilla ,6/21/2013 0:00,15.5,10
Melilla ,6/22/2013 0:00,12.6,6.2
Melilla ,6/23/2013 0:00,12.4,11.5
Melilla ,6/24/2013 0:00,13.4,4.9
Melilla ,6/25/2013 0:00,13.8,6.5
Melilla ,6/26/2013 0:00,12.4,6.5
Melilla ,6/27/2013 0:00,18.6,5.5
Melilla ,6/28/2013 0:00,18.5,3
Melilla ,6/29/2013 0:00,16,3
Melilla ,6/30/2013 0:00,13,4
Melilla ,7/1/2013 0:00,15.8,1
Melilla ,7/2/2013 0:00,19.6,-0.3
Melilla ,7/3/2013 0:00,21.7,2.8
Melilla ,7/4/2013 0:00,18.4,6
Melilla ,7/5/2013 0:00,16.4,1.2
Melilla ,7/6/2013 0:00,14.6,2
Melilla ,7/7/2013 0:00,12.2,0
Melilla ,7/8/2013 0:00,13,2.6
Melilla ,7/9/2013 0:00,15.4,4.5
Melilla ,7/10/2013 0:00,15.5,6.2
Melilla ,7/11/2013 0:00,20.2,8.8
Melilla ,7/12/2013 0:00,14,13.2
Melilla ,7/13/2013 0:00,14.4,3.9
Melilla ,7/14/2013 0:00,12.8,5
Melilla ,7/15/2013 0:00,14.1,2.8
Melilla ,7/16/2013 0:00,20.8,11
Melilla ,7/17/2013 0:00,23,1
Melilla ,7/18/2013 0:00,14,9
Melilla ,7/19/2013 0:00,9.6,
Melilla ,7/20/2013 0:00,10.2,7
Melilla ,7/21/2013 0:00,7.2,3.1
Melilla ,7/22/2013 0:00,6.4,1.9
Melilla ,7/23/2013 0:00,8.5,5
Melilla ,7/24/2013 0:00,12.4,6
Melilla ,7/25/2013 0:00,14.8,11.5
Melilla ,7/26/2013 0:00,15.3,10
Melilla ,7/27/2013 0:00,19.4,6
Melilla ,7/28/2013 0:00,15.8,10
Melilla ,7/29/2013 0:00,19.3,6.2
Melilla ,7/30/2013 0:00,18.2,5
Melilla ,7/31/2013 0:00,23.4,5.5
Melilla ,8/1/2013 0:00,10.6,1.2
Melilla ,8/2/2013 0:00,10.3,5
Melilla ,8/3/2013 0:00,10.2,6
Melilla ,8/4/2013 0:00,14.6,5.5
Melilla ,8/5/2013 0:00,18.6,3.2
Melilla ,8/6/2013 0:00,18.2,4.5
Melilla ,8/7/2013 0:00,17.1,9
Melilla ,8/8/2013 0:00,12.4,11.2
Melilla ,8/9/2013 0:00,11.7,11.5
Melilla ,8/10/2013 0:00,13.1,12.6
Melilla ,8/11/2013 0:00,15.5,10.5
Melilla ,8/12/2013 0:00,15.5,15.2
Melilla ,8/13/2013 0:00,8.8,4.5
Melilla ,8/14/2013 0:00,11.2,2.6
Melilla ,8/15/2013 0:00,14.3,6.5
Melilla ,8/16/2013 0:00,13.8,11.7
Melilla ,8/17/2013 0:00,15.2,10.5
Melilla ,8/18/2013 0:00,20.4,9.5
Melilla ,8/19/2013 0:00,23.2,9.5
Melilla ,8/20/2013 0:00,24.6,5.5
Melilla ,8/21/2013 0:00,19.4,4.5
Melilla ,8/22/2013 0:00,11,2.2
Melilla ,8/23/2013 0:00,8.4,2.8
Melilla ,8/24/2013 0:00,10.8,7.4
Melilla ,8/25/2013 0:00,8.8,1.8
Melilla ,8/26/2013 0:00,10.1,5.7
Melilla ,8/27/2013 0:00,13.9,7
Melilla ,8/28/2013 0:00,21.2,10
Melilla ,8/29/2013 0:00,23.8,7.5
Melilla ,8/30/2013 0:00,25.1,6
Melilla ,8/31/2013 0:00,25.8,7.2
Melilla ,9/1/2013 0:00,24,1.6
Melilla ,9/2/2013 0:00,17.1,3.1
Melilla ,9/3/2013 0:00,11.3,10.5
Melilla ,9/4/2013 0:00,13.6,12.5
Melilla ,9/5/2013 0:00,17.6,5.2
Melilla ,9/6/2013 0:00,24.5,4
Melilla ,9/7/2013 0:00,18,6.8
Melilla ,9/8/2013 0:00,19.2,7.4
Melilla ,9/9/2013 0:00,26.3,8.6
Melilla ,9/10/2013 0:00,31.2,10.3
Melilla ,9/11/2013 0:00,30.3,4.2
Melilla ,9/12/2013 0:00,27.2,8.5
Melilla ,9/13/2013 0:00,12.8,5.2
Melilla ,9/14/2013 0:00,11.2,3.5
Melilla ,9/15/2013 0:00,11.8,6.2
Melilla ,9/16/2013 0:00,11.3,10
Melilla ,9/17/2013 0:00,8.5,6.2
Melilla ,9/18/2013 0:00,14.8,11.4
Melilla ,9/19/2013 0:00,19.6,7
Melilla ,9/20/2013 0:00,18.4,5.5
Melilla ,9/21/2013 0:00,17,6
Melilla ,9/22/2013 0:00,12.1,10.4
Melilla ,9/23/2013 0:00,12.3,10.6
Melilla ,9/24/2013 0:00,12,8
Melilla ,9/25/2013 0:00,16.2,9.6
Melilla ,9/26/2013 0:00,19,13.4
Melilla ,9/27/2013 0:00,19.3,11
Melilla ,9/28/2013 0:00,18.2,10.3
Melilla ,9/29/2013 0:00,15,13
Melilla ,9/30/2013 0:00,13.3,9.5
Melilla ,10/1/2013 0:00,15.2,9.5
Melilla ,10/2/2013 0:00,17.4,10
Melilla ,10/3/2013 0:00,18,9.8
Melilla ,10/4/2013 0:00,16,7
Melilla ,10/5/2013 0:00,16.2,9.5
Melilla ,10/6/2013 0:00,22.2,10.3
Melilla ,10/7/2013 0:00,23.1,13.3
Melilla ,10/8/2013 0:00,23.7,14.5
Melilla ,10/9/2013 0:00,26.8,14.1
Melilla ,10/10/2013 0:00,24.2,13.5
Melilla ,10/11/2013 0:00,17.5,10
