Estacion,Fecha,Tmax,Tmin
Prado,1/1/2013 0:00,20,15
Prado,1/2/2013 0:00,19,15.4
Prado,1/3/2013 0:00,26,11.9
Prado,1/4/2013 0:00,,17.5
Prado,1/5/2013 0:00,,20
Prado,1/6/2013 0:00,,22.7
Prado,1/7/2013 0:00,31,20.2
Prado,1/8/2013 0:00,27.5,21.9
Prado,1/9/2013 0:00,28.4,19.1
Prado,1/10/2013 0:00,29.7,16.6
Prado,1/11/2013 0:00,31.6,17.5
Prado,1/12/2013 0:00,28.7,18
Prado,1/13/2013 0:00,29.3,19.6
Prado,1/14/2013 0:00,28.3,18.4
Prado,1/15/2013 0:00,28.8,18.5
Prado,1/16/2013 0:00,29.8,19.3
Prado,1/17/2013 0:00,27.5,22.4
Prado,1/18/2013 0:00,26.8,19.8
Prado,1/19/2013 0:00,24.2,19.9
Prado,1/20/2013 0:00,25.1,15.8
Prado,1/21/2013 0:00,25.8,15.9
Prado,1/22/2013 0:00,27.7,17.5
Prado,1/23/2013 0:00,30.2,20.4
Prado,1/24/2013 0:00,31.6,22.9
Prado,1/25/2013 0:00,20.6,18.9
Prado,1/26/2013 0:00,25.5,16.1
Prado,1/27/2013 0:00,30.4,15
Prado,1/28/2013 0:00,34.4,19.5
Prado,1/29/2013 0:00,33.2,23
Prado,1/30/2013 0:00,31.1,20.5
Prado,1/31/2013 0:00,30.2,22.1
Prado,2/1/2013 0:00,33.5,22.1
Prado,2/2/2013 0:00,26.2,20
Prado,2/3/2013 0:00,21.3,17.7
Prado,2/4/2013 0:00,24.4,12.2
Prado,2/5/2013 0:00,27.8,16
Prado,2/6/2013 0:00,29,17
Prado,2/7/2013 0:00,28.4,16.5
Prado,2/8/2013 0:00,29.7,16.6
Prado,2/9/2013 0:00,30.4,19.4
Prado,2/10/2013 0:00,30.6,22
Prado,2/11/2013 0:00,27.9,21.5
Prado,2/12/2013 0:00,31.6,20.7
Prado,2/13/2013 0:00,29.3,22
Prado,2/14/2013 0:00,29.1,21
Prado,2/15/2013 0:00,30.4,19.1
Prado,2/16/2013 0:00,31.3,21.2
Prado,2/17/2013 0:00,29.6,24
Prado,2/18/2013 0:00,23.1,19.7
Prado,2/19/2013 0:00,23.1,15.2
Prado,2/20/2013 0:00,23.6,16.2
Prado,2/21/2013 0:00,22.7,16.1
Prado,2/22/2013 0:00,26.4,13.7
Prado,2/23/2013 0:00,28.8,16.6
Prado,2/24/2013 0:00,25.2,20.1
Prado,2/25/2013 0:00,21.2,18.7
Prado,2/26/2013 0:00,20.6,14.8
Prado,2/27/2013 0:00,20.7,16
Prado,2/28/2013 0:00,22.3,11.9
Prado,3/1/2013 0:00,27.5,14
Prado,3/2/2013 0:00,25.3,19.5
Prado,3/3/2013 0:00,21,17.9
Prado,3/4/2013 0:00,19.5,11
Prado,3/5/2013 0:00,21.2,13.4
Prado,3/6/2013 0:00,27.1,14.4
Prado,3/7/2013 0:00,26.4,17.5
Prado,3/8/2013 0:00,30.4,19.6
Prado,3/9/2013 0:00,30.3,19
Prado,3/10/2013 0:00,22.8,19.8
Prado,3/11/2013 0:00,24.3,14.1
Prado,3/12/2013 0:00,20.3,16.1
Prado,3/13/2013 0:00,20.8,10
Prado,3/14/2013 0:00,17.6,10
Prado,3/15/2013 0:00,18.5,10.2
Prado,3/16/2013 0:00,17.9,11.3
Prado,3/17/2013 0:00,19,13.5
Prado,3/18/2013 0:00,22,11.8
Prado,3/19/2013 0:00,22.5,17
Prado,3/20/2013 0:00,20.8,18.4
Prado,3/21/2013 0:00,21.7,17.6
Prado,3/22/2013 0:00,21.1,16
Prado,3/23/2013 0:00,22,10.5
Prado,3/24/2013 0:00,25.6,12.5
Prado,3/25/2013 0:00,24.2,15.8
Prado,3/26/2013 0:00,22.2,15.4
Prado,3/27/2013 0:00,21.3,10.8
Prado,3/28/2013 0:00,23.6,10.7
Prado,3/29/2013 0:00,27.7,12.6
Prado,3/30/2013 0:00,28.5,15.2
Prado,3/31/2013 0:00,27,18.6
Prado,4/1/2013 0:00,25.2,20.3
Prado,4/2/2013 0:00,23.5,19.7
Prado,4/3/2013 0:00,25.6,17.3
Prado,4/4/2013 0:00,23.2,16.1
Prado,4/5/2013 0:00,22.3,17.2
Prado,4/6/2013 0:00,21.5,16
Prado,4/7/2013 0:00,19.5,12.8
Prado,4/8/2013 0:00,21.4,8.4
Prado,4/9/2013 0:00,23.2,10.4
Prado,4/10/2013 0:00,23.5,11
Prado,4/11/2013 0:00,20,17
Prado,4/12/2013 0:00,18.9,16.5
Prado,4/13/2013 0:00,16.1,11
Prado,4/14/2013 0:00,21.3,9.2
Prado,4/15/2013 0:00,18.7,12.3
Prado,4/16/2013 0:00,17.5,14
Prado,4/17/2013 0:00,19,7.7
Prado,4/18/2013 0:00,24.6,11.5
Prado,4/19/2013 0:00,26.2,11.5
Prado,4/20/2013 0:00,25.6,11.4
Prado,4/21/2013 0:00,26.7,12.8
Prado,4/22/2013 0:00,24.4,14
Prado,4/23/2013 0:00,25.6,13.8
Prado,4/24/2013 0:00,23.8,13.6
Prado,4/25/2013 0:00,25.8,
Prado,4/26/2013 0:00,25.6,13.4
Prado,4/27/2013 0:00,25.6,15.8
Prado,4/28/2013 0:00,21.2,17.5
Prado,4/29/2013 0:00,18.8,13.5
Prado,4/30/2013 0:00,20,16
Prado,5/1/2013 0:00,20.5,11.6
Prado,5/2/2013 0:00,20,12.6
Prado,5/3/2013 0:00,17.3,15.6
Prado,5/4/2013 0:00,17,13
Prado,5/5/2013 0:00,17.1,11.7
Prado,5/6/2013 0:00,23.9,9.2
Prado,5/7/2013 0:00,15.5,10.6
Prado,5/8/2013 0:00,22.9,9
Prado,5/9/2013 0:00,24.6,12.9
Prado,5/10/2013 0:00,24.4,11.9
Prado,5/11/2013 0:00,21.8,17.2
Prado,5/12/2013 0:00,19,13
Prado,5/13/2013 0:00,17,11.6
Prado,5/14/2013 0:00,18.7,13
Prado,5/15/2013 0:00,12.1,10
Prado,5/16/2013 0:00,12.1,7.5
Prado,5/17/2013 0:00,15,4.4
Prado,5/18/2013 0:00,15.1,4.3
Prado,5/19/2013 0:00,16.2,7.3
Prado,5/20/2013 0:00,13.9,12.6
Prado,5/21/2013 0:00,14.8,12.1
Prado,5/22/2013 0:00,17.8,12
Prado,5/23/2013 0:00,18.6,10.6
Prado,5/24/2013 0:00,16.8,10.1
Prado,5/25/2013 0:00,17.8,6.9
Prado,5/26/2013 0:00,19.4,9.6
Prado,5/27/2013 0:00,21,8
Prado,5/28/2013 0:00,19.3,14.3
Prado,5/29/2013 0:00,14.5,10.5
Prado,5/30/2013 0:00,18,10.6
Prado,5/31/2013 0:00,20,11.5
Prado,6/1/2013 0:00,21.2,8.5
