Fecha,Estacion,Tmax,Tmin
2013-01-01,Carrasco,22.8,15.2
2013-01-02,Carrasco,19.6,12.5
2013-01-03,Carrasco,25.0,10.2
2013-01-04,Carrasco,29.3,17.2
2013-01-05,Carrasco,32.5,19.5
2013-01-06,Carrasco,29.0,20.0
2013-01-07,Carrasco,31.0,19.0
2013-01-08,Carrasco,26.9,22.0
2013-01-09,Carrasco,27.4,17.5
2013-01-10,Carrasco,28.0,14.8
2013-01-11,Carrasco,30.2,15.4
2013-01-12,Carrasco,29.8,17.0
2013-01-13,Carrasco,28.4,18.0
2013-01-14,Carrasco,26.8,16.8
2013-01-15,Carrasco,27.4,18.0
2013-01-16,Carrasco,29.6,18.0
2013-01-17,Carrasco,25.8,20.5
2013-01-18,Carrasco,27.6,18.5
2013-01-19,Carrasco,24.0,19.5
2013-01-20,Carrasco,24.4,15.0
2013-01-21,Carrasco,25.0,15.2
2013-01-22,Carrasco,27.7,17.0
2013-01-23,Carrasco,30.4,20.4
2013-01-24,Carrasco,32.0,18.6
2013-01-25,Carrasco,20.8,16.9
2013-01-26,Carrasco,25.7,11.0
2013-01-27,Carrasco,30.0,13.5
2013-01-28,Carrasco,33.6,18.4
2013-01-29,Carrasco,33.8,20.0
2013-01-30,Carrasco,29.2,20.5
2013-01-31,Carrasco,27.8,22.5
2013-02-01,Carrasco,34.6,21.6
2013-02-02,Carrasco,26.8,20.0
2013-02-03,Carrasco,21.6,17.2
2013-02-04,Carrasco,23.2,9.9
2013-02-05,Carrasco,27.3,13.6
2013-02-06,Carrasco,28.0,15.0
2013-02-07,Carrasco,26.4,16.6
2013-02-08,Carrasco,28.0,16.5
2013-02-09,Carrasco,27.2,18.5
2013-02-10,Carrasco,30.2,21.2
2013-02-11,Carrasco,27.0,21.2
2013-02-12,Carrasco,31.8,20.2
2013-02-13,Carrasco,30.0,20.2
2013-02-14,Carrasco,28.2,20.0
2013-02-15,Carrasco,28.0,19.0
2013-02-16,Carrasco,32.0,20.0
2013-02-17,Carrasco,29.8,21.4
2013-02-18,Carrasco,22.6,19.0
2013-02-19,Carrasco,23.0,15.6
2013-02-20,Carrasco,23.3,18.2
2013-02-21,Carrasco,22.4,18.0
2013-02-22,Carrasco,24.8,15.5
2013-02-23,Carrasco,29.0,16.0
2013-02-24,Carrasco,24.8,19.6
2013-02-25,Carrasco,21.0,18.4
2013-02-26,Carrasco,20.0,15.8
2013-02-27,Carrasco,21.6,11.7
2013-02-28,Carrasco,21.2,10.6
2013-03-01,Carrasco,28.2,12.6
2013-03-02,Carrasco,25.2,18.0
2013-03-03,Carrasco,21.2,15.5
2013-03-04,Carrasco,19.7,15.5
2013-03-05,Carrasco,22.0,11.2
2013-03-06,Carrasco,27.0,11.6
2013-03-07,Carrasco,26.7,15.4
2013-03-08,Carrasco,29.0,19.2
2013-03-09,Carrasco,30.2,19.0
2013-03-10,Carrasco,23.4,18.3
2013-03-11,Carrasco,26.4,13.0
2013-03-12,Carrasco,20.3,14.0
2013-03-13,Carrasco,20.6,8.4
2013-03-14,Carrasco,17.9,10.0
2013-03-15,Carrasco,18.9,8.0
2013-03-16,Carrasco,18.4,11.5
2013-03-17,Carrasco,18.4,12.5
2013-03-18,Carrasco,21.0,13.6
2013-03-19,Carrasco,22.0,17.0
2013-03-20,Carrasco,20.6,17.7
2013-03-21,Carrasco,21.6,16.2
2013-03-22,Carrasco,21.2,10.3
2013-03-23,Carrasco,22.6,9.5
2013-03-24,Carrasco,24.4,8.9
2013-03-25,Carrasco,24.0,15.0
2013-03-26,Carrasco,21.6,13.8
2013-03-27,Carrasco,20.9,10.3
2013-03-28,Carrasco,22.8,9.6
2013-03-29,Carrasco,27.6,12.4
2013-03-30,Carrasco,27.2,14.9
2013-03-31,Carrasco,27.0,18.6
2013-04-01,Carrasco,24.0,19.8
2013-04-02,Carrasco,23.2,18.6
2013-04-03,Carrasco,25.7,16.6
2013-04-04,Carrasco,22.0,15.4
2013-04-05,Carrasco,22.4,15.0
2013-04-06,Carrasco,21.6,12.5
2013-04-07,Carrasco,19.8,9.4
2013-04-08,Carrasco,22.2,7.6
2013-04-09,Carrasco,20.8,9.5
2013-04-10,Carrasco,23.4,11.5
2013-04-11,Carrasco,20.0,17.0
2013-04-12,Carrasco,18.6,15.2
2013-04-13,Carrasco,16.2,8.6
2013-04-14,Carrasco,22.2,7.0
2013-04-15,Carrasco,18.8,11.6
2013-04-16,Carrasco,18.0,13.5
2013-04-17,Carrasco,18.8,7.8
2013-04-18,Carrasco,25.2,9.0
2013-04-19,Carrasco,26.2,10.8
2013-04-20,Carrasco,25.8,11.0
2013-04-21,Carrasco,25.4,10.9
