Año,Mes,Estacion,TMaxPromedio,TMinPromedio,TMaxRegistrada,TMinRegistrada,TMaxDesviacion,TMinDesviacion
2013,1,Carrasco,27.8,17.4,33.8,10.2,3.4,3.0
2013,2,Carrasco,26.2,17.5,34.6,9.9,3.8,3.2
2013,3,Carrasco,23.2,13.6,30.2,8.0,3.4,3.4
2013,4,Carrasco,22.3,12.7,26.4,7.0,2.9,3.2
2013,5,Carrasco,18.2,9.4,23.6,2.2,2.9,3.0
2013,6,Carrasco,15.9,5.8,23.2,-1.6,3.5,3.4
2013,7,Carrasco,15.1,6.0,22.3,0.4,4.1,3.7
2013,8,Carrasco,15.8,6.3,25.6,0.1,5.4,3.3
2013,9,Carrasco,17.4,9.7,32.1,3.3,5.9,4.2
2013,10,Carrasco,20.5,11.2,27.0,3.0,3.8,3.3
2013,11,Carrasco,23.4,14.8,33.0,10.0,4.1,2.2
2013,12,Carrasco,29.6,18.0,39.8,9.8,5.2,3.6
2014,1,Carrasco,28.0,18.8,36.0,12.2,4.3,2.7
2014,2,Carrasco,25.8,18.4,35.5,14.2,3.6,2.0
2014,3,Carrasco,24.1,14.7,28.6,7.5,2.8,3.0
2014,4,Carrasco,21.5,13.1,28.2,6.2,2.9,4.3
2014,5,Carrasco,17.6,9.6,22.3,1.3,2.4,4.0
2014,6,Carrasco,15.8,6.6,25.2,1.0,3.0,3.3
2014,7,Carrasco,15.9,7.8,22.0,0.0,3.6,3.3
2014,8,Carrasco,18.7,7.9,30.0,1.6,4.9,3.9
2014,9,Carrasco,19.7,10.2,25.0,5.0,2.7,2.7
2014,10,Carrasco,23.1,13.9,33.1,9.0,4.5,2.5
2014,11,Carrasco,24.3,13.4,32.1,8.2,4.4,2.6
2014,12,Carrasco,26.6,16.9,33.7,10.2,4.0,2.9
2015,1,Carrasco,27.2,18.4,35.2,12.4,3.5,2.9
2015,2,Carrasco,27.2,18.6,32.4,12.2,2.7,2.0
2015,3,Carrasco,26.5,17.2,31.8,10.0,3.6,2.7
2015,4,Carrasco,24.6,13.7,32.2,9.0,3.4,2.9
2015,5,Carrasco,21.0,11.5,28.0,4.1,4.0,4.0
2015,6,Carrasco,18.2,7.5,25.8,-1.8,4.3,4.6
2015,7,Carrasco,16.9,6.5,26.0,0.4,3.4,4.3
2015,8,Carrasco,19.0,10.8,31.6,6.2,4.3,2.7
2015,9,Carrasco,17.3,8.1,26.4,1.5,3.5,3.2
2015,10,Carrasco,18.5,11.1,24.8,4.4,3.1,3.0
2015,11,Carrasco,22.9,13.6,29.4,8.0,3.0,3.0
2015,12,Carrasco,26.8,16.7,35.0,9.5,4.2,3.1
2016,1,Carrasco,28.3,18.8,37.2,13.3,3.7,2.3
2016,2,Carrasco,28.8,19.6,37.8,14.0,3.1,2.3
2016,3,Carrasco,24.0,16.2,32.6,11.1,3.4,2.5
2016,4,Carrasco,19.8,15.0,24.0,5.2,3.3,3.8
2016,5,Carrasco,14.6,9.0,19.0,3.4,1.7,3.1
2016,6,Carrasco,13.6,6.0,21.8,-0.8,2.5,3.2
2016,7,Carrasco,14.3,7.4,22.2,1.3,3.0,3.0
2016,8,Carrasco,17.0,7.8,27.1,3.1,4.2,2.4
2016,9,Carrasco,16.5,9.3,25.6,1.5,4.5,2.4
2016,10,Carrasco,19.6,12.2,27.6,4.6,4.1,3.1
