secc,segm,anio,mes,cantidadPredios,potencia_contratada_punta,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
1.0,1.0,2018.0,1.0,354.0,0.0,0.6833333333333333,0.2388888888888889,0.03333333333333333,70757.498
1.0,1.0,2018.0,2.0,352.0,0.0,0.6722689075630253,0.24649859943977592,0.03361344537815126,59045.628
1.0,1.0,2018.0,3.0,338.0,0.0,0.6744868035190615,0.25219941348973607,0.03225806451612903,54202.797
1.0,1.0,2018.0,4.0,360.0,0.0,0.6675824175824175,0.25274725274725274,0.03296703296703297,62466.367
1.0,1.0,2018.0,5.0,365.0,0.0,0.6612466124661247,0.2601626016260163,0.02981029810298103,74131.833
1.0,1.0,2018.0,6.0,360.0,0.0,0.650137741046832,0.26721763085399447,0.03305785123966942,87120.66
1.0,1.0,2018.0,7.0,340.0,0.0,0.6461988304093568,0.2631578947368421,0.03508771929824561,89752.45999999999
1.0,1.0,2018.0,8.0,367.0,0.0,0.6531165311653117,0.26287262872628725,0.032520325203252036,94526.208
1.0,1.0,2018.0,9.0,354.0,0.0,0.6460674157303371,0.2752808988764045,0.03089887640449438,73870.5
1.0,1.0,2018.0,10.0,375.0,0.0,0.6428571428571429,0.2724867724867725,0.03968253968253968,75314.1
1.0,1.0,2018.0,11.0,377.0,0.0,0.6447368421052632,0.2710526315789474,0.042105263157894736,69291.55
1.0,1.0,2018.0,12.0,380.0,0.0,0.6404199475065617,0.2782152230971129,0.03937007874015748,59467.505
1.0,2.0,2018.0,1.0,301.0,0.0,0.6611295681063123,0.2724252491694352,0.013289036544850499,50377.0
1.0,2.0,2018.0,2.0,302.0,0.0,0.6501650165016502,0.2706270627062706,0.0165016501650165,49776.4
1.0,2.0,2018.0,3.0,292.0,0.0,0.6450511945392492,0.2832764505119454,0.017064846416382253,43509.53999999999
1.0,2.0,2018.0,4.0,300.0,0.0,0.6402640264026402,0.2838283828382838,0.0165016501650165,47208.996
1.0,2.0,2018.0,5.0,302.0,0.0,0.6435643564356436,0.2838283828382838,0.0165016501650165,54321.964
1.0,2.0,2018.0,6.0,309.0,0.0,0.6495176848874598,0.2797427652733119,0.01607717041800643,57146.556
1.0,2.0,2018.0,7.0,305.0,0.0,0.6437908496732027,0.28104575163398693,0.016339869281045753,63920.613
1.0,2.0,2018.0,8.0,305.0,0.0,0.6437908496732027,0.28431372549019607,0.0196078431372549,70047.76400000001
1.0,2.0,2018.0,9.0,309.0,0.0,0.6419354838709678,0.2838709677419355,0.01935483870967742,62899.884999999995
1.0,2.0,2018.0,10.0,309.0,0.0,0.6387096774193548,0.2903225806451613,0.016129032258064516,56357.228
1.0,2.0,2018.0,11.0,310.0,0.0,0.6378205128205128,0.2916666666666667,0.019230769230769232,55756.630999999994
